Domanda;A;B;C;D;Risposta
A 16. Cosa è la Horizontal System Integration?;Metodo d'integrazione in cui un sottosistema specializzato è dedicato alla comunicazione tra altri sottosistemi. Ciò consente di ridurre il numero di connessioni (interfacce) a una sola per sottosistema che si collegherà direttamente all'ESB. L'ESB è in grado di tradurre l'interfaccia in un'altra interfaccia.;Metodo d'integrazione in cui un sistema specializzato è dedicato alla comunicazione tra altri sottosistemi. Ciò consente di ridurre il numero di connessioni (interfacce) a una sola per sottosistema che si collegherà direttamente all'ESB. L'ESB è in grado di tradurre l'interfaccia in un'altra interfaccia.;Metodo d'integrazione di un sottosistema specializzato.;tutte le altre risposte sono errate;A
A 17. Cosa si intende per Industrial Internet of Things;tutte le altre risposte sono errate;Applicazione dell’Internet of Things (IoT) nel mondo dell'industria 3.0, evoluzione del concetto di Internet delle cose che riguarda da vicino i processi industriali e mira a rendere questi ultimi più efficienti e sicuri.;Applicazione dell’Internet of Things (IoT) nel mondo industriale, evoluzione del concetto di Internet delle cose che riguarda da vicino i processi industriali e mira a rendere questi ultimi più efficienti e sicuri.;Applicazione dell’Internet of Things (IoT);C
A 18. Perché i sistemi di Augmented Reality trovano largo utilizzo nel settore manifatturiero?;tutte le altre risposte sono errate;Per consentire lievi risparmi economici nei processi logistici;Per consentire enormi risparmi economici nei processi logistici;Soprattutto per l'ottimizzazione dei processi logistici nelle operazioni di picking.;D
A 19. Cosa si indica con il termine Cloud Computing?;tutte le altre risposte sono errate;Paradigma di erogazione di risorse informatiche, come l'archiviazione, l'elaborazione o la trasmissione di dati, caratterizzato dalla disponibilità on demanda attraverso Internet a partire da un insieme di risorse preesistenti e configurabili;Paradigma di erogazione di risorse informatiche, come l'archiviazione, l'elaborazione o la trasmissione di dati, caratterizzato dalla disponibilità on demand attraverso Internet a partire da un insieme di risorse da sviluppare;Insieme di risorse informatiche, come l'archiviazione, l'elaborazione o la trasmissione di dati, caratterizzato dalla disponibilità on demanda attraverso Internet a partire da un insieme di risorse preesistenti e configurabili;B
A 20. Casa si intende quando si parla di Additive Manufacturing?;Tecnica di produzione e commercializzazione che, utilizzando delle tecnologie differenti, permette di ottenere prodotti e manufatti dalla generazione e successiva addizione di successivi strati di materiale;tutte le altre risposte sono errate;Tecnica di produzione che, utilizzando delle tecnologie differenti, permette di ottenere prodotti e manufatti dalla generazione e successiva addizione di successivi strati di materiale;Tecnica di produzione che, utilizzando delle tecnologie differenti, permette di ottenere prodotti e manufatti dalla generazione e successiva addizione di successivi strati di materiale;C
A 21. Che tipo di meccanismi sono all’opera nell'evoluzione biotecnologica?;tutte le altre risposte sono errate;Meccanismi darwiniani e popperiani;Meccanismi lamarckiani e popperiani;Meccanismi darwiniani e lamarckiani;D
A 22. Perché i parametri vitali di un paziente vengono trasmessi dai dispositivi intelligenti in una piattaforma cloud?;tutte le altre risposte sono errate;Perché permettono di essere custoditi ed archiviati;Perché permettono di essere archiviati;Perché permettono di fare diagnosi da remoto e in real-time;D
A 23. Quali sono alcuni dei principali vantaggi dei dispositivi intelligenti in campo medico?;tutte le altre risposte sono errate;Favorire il benessere e la salute degli individui, migliorare l’esperienza di cura, aiutare notevolmente a ridurre i costi di gestione, evitare agli individui di svolgere obligatoriamente le loro attività fisiche quotidiane e supportare nella gestione di patologie e malattie.;Curare il benessere e la salute degli individui aiutare notevolmente a ridurre i costi di gestione, supportare gli individui durante le loro attività fisiche quotidiane e supportare nella gestione di patologie e malattie.;Favorire il benessere e la salute degli individui, migliorare l’esperienza di cura, aiutare notevolmente a ridurre i costi di gestione, supportare gli individui durante le loro attività fisiche quotidiane e supportare nella gestione di patologie e malattie.;D
A 24. Cosa è in grado di fare, tra le altre cose, un dispositivo intelligente connesso ad uno smart device?;tutte le altre risposte sono errate;È in grado di comunicare autonomamente;È in grado di registrare e valutare l'ambiente esterno e dare risposta immediata al paziente;È in grado di registrare e valutare lo stato fisico e di salute degli individui;D
"A 25. Cosa si vuole indicare con il termine ""Internet of Things’ ?";Si vuole indicare la possibilità di estensione della rete Internet a tutti gli oggetti anche se gli stessi non sono in grado di supportare le tecnologie necessarie.;Si vuole indicare la possibilità di estensione della rete Internet a tutti gli oggetti in grado di supportare le tecnologie necessarie.;Si vuole indicare la possibilità di sciluppo della rete Internet a alla meccanica;tutte le altre risposte sono errate;B
A 26. I dispositivi intelligenti consentono di geolocalizzare la propria posizione durante le attività all’aperto?;Si , sempre;Si, solo in alcuni casi;tutte le altre risposte sono errate;No;A
A 27. Quando si parla di Smart Home?;Quando la presenza di dispositivi intelligenti consente di ottimizzare la gestione di funzioni essenziali quali: controllo del riscaldamento con termostati o rubinetti termostatici intelligenti, gestione della climatizzazione o dell’illuminazione, controllo a distanza o automatizzazione delle apparecchiature elettriche o degli elettrodomestici;Quando la presenza di dispositivi intelligenti consente di ottimizzare la gestione di tte le funzioni essenziali.;Quando la presenza di dispositivi intelligenti consente di ottimizzare la gestione delle attività casalinghe;tutte le altre risposte sono errate;A
A 28. Cosa si intende per Smart City?;tutte le altre risposte sono errate;Una vera e propria intelligenza cittadina;Una organizzazione più automatizzata e razionale della città, volta principalmente al perseguimento di una maggiore efficienza e/o benessere delle persone che la vivono;Una organizzazione più automatizzata e razionale della città che permette alle stesse di guadagnare efficienza in molti settori cruciali con conseguenti aumenti dei costi;C
A 29. I dispositivi intelligenti sono utilizzati anche nel settore dei trasporti?;Si, sono utilizzati esclusivamente nel settore dei trasporti;tutte le altre risposte sono errate;No,ad oggi non sono ancora utilizzati nel settore dei trasporti;Si, sono utilizzati anche nel settore dei trasporti;D
A 30. e cellulari;Consentono esclusivamente di controllare in tempo reale i dintorni o l’interno dell’abitazione dal proprio smartphone, di essere avvisati in caso di intrusione o di allertare automaticamente le forze dell’ordine;Consentono tra le altre cose di controllare in tempo reale i dintorni o l’interno dell’abitazione dal proprio smartphone, di essere avvisati in caso di intrusione o di allertare automaticamente le forze dell’ordine;Consentono ogni tanto di controllare in tempo reale i dintorni o l’interno dell’abitazione dal proprio smartphone, di essere avvisati in caso di intrusione o di allertare automaticamente le forze dell’ordine;tutte le altre risposte sono errate;B
A 31. Cosa ha coinvolto il primo attacco informatico basato su Internet delle cose rilevato dal Provider Proofpoint?;Elettrodomestici intelligenti e cellulari;tutte le altre risposte sono errate;Elettrodomestici intelligenti;Elettrodomestici, cellulari, videocamere e router;C
"A 32. A cosa mirava il worm che scoprì la società di sicurezza ""Symantec"" nel 2013?";Dispositivi intelligenti;Piccoli dispositivi - televisioni intelligenti, videocamere, router - oltre che ai soliti computer e notebook tradizionali;Piccoli dispositivi;tutte le altre risposte sono errate;B
A 33. Cosa sono: scopo specifico, minimizzazione dei dati, “notice and consent”;Alcuni tra i principi più importanti alla base delle protezione dei dati;tutte le altre risposte sono errate;Concetti utilizzati nel mondo dell'ICT;Alcuni tra i principi più importanti alla base dell'ICT;A
A 34. Cosa si intende per privacy by design?;Architettura orientata alla protezione dei dati;Una delle normative inerenti la protezione dei dati;Una metodologia utilizzata per la raccolta dei dati;tutte le altre risposte sono errate;A
A 35. Perché nel trattamento dei dativengono adottate “tecniche di anonimizzazione” ?;Come strategia per consentire alle persone e alla società in senso lato di fruire dei vantaggi dei “dati aperti”, attenuando al contempo i rischi per le persone interessate, in termini di protezione dati e sfera privata;Come strategia per consentire alle persone e alla società in senso lato di fruire dei vantaggi dei dati;Come strategia per consentire alle persone e alla società in senso lato di fruire dei vantaggi dei dati, attenuando al contempo i rischi per i dispositivi interessati, in termini di protezione dati e sfera privata;tutte le altre risposte sono errate;A
A 36. Quali sono le conseguenze dell’uso “trasformativo” dei dati personali?;Mancanza di limitazione della consapevolezza dei consumatori, della capacità di valutare le varie conseguenze delle loro scelte e, quindi, di dare un consenso libero e informato;Limitazione della consapevolezza dei consumatori;Limitazione della consapevolezza dei consumatori, capacità di valutare le varie conseguenze delle loro scelte e, quindi, di dare un consenso libero e informato;tutte le altre risposte sono errate;C
A 37. Quali sono alcuni tra i principali problemi da superare riguardanti la privacy nei dispositivi intelligenti?;Consenso dell’utente e Anonimato;Consenso dell’utente e Libertà di scelta;Consenso dell’utente, Libertà di scelta, Anonimato;tutte le altre risposte sono errate;C
A 38. Perché sono fondamentali le Autorità indipendenti per il trattamento dei dati nei dispostivi intelligenti?;tutte le altre risposte sono errate;Perchè possiedono conoscenze comunicative per valutare i rischi associati al trattamento dei dati e possono adottare rimedi per contrastarli.;Perchè possiedono conoscenze tecnologiche per valutare i rischi associati al trattamento dei dati e possono adottare rimedi legali per contrastarli.;Perchè possiedono conoscenze per valutare i rischi associati al trattamento dei dati e possono adottare rimediper contrastarli.;C
"A 39. Perché è importante il modello ""opt-out""?";Perché consente al consumatore di esercitare o meno il proprio diritto di uscita;tutte le altre risposte sono errate;Perché consente alle aziende di decidere se continuare ad avere rapporti con determinati consumatori;Perché consente al consumatore di esercitare o meno il proprio diritto ingresso e di uscita;A
A 40. Per garantire la sicurezza nei dispositivi intelligenti cosa si dovrebbe almeno considerare?;tutte le altre risposte sono errate;Aspetti che includono il cloud e le applicazioni mobili.;Le caratteristiche dell'oggetto e della sua sicurezza intrinseca, ma anche altri aspetti che includono il cloud, le applicazioni mobili.;Le caratteristiche dell'oggetto e della sua sicurezza intrinseca.;C
A 41. Le Applicazioni di Smart Asset Management per quale tipo di monitoraggio vengono utilizzate maggiormente?;Macchine per il gioco online, ascensori e distributori automatici;Macchine per il gioco d’azzardo, ascensori e distributori automatici;Macchine per il gioco d’azzardo, ascensori, smart car e distributori automatici;tutte le altre risposte sono errate;B
A 42. Quanti si pensa che saranno i dispositivi intelligenti nel mondo entro la fine del 2020?;Oltre 25 miliardi di dispositivi intelligenti;tutte le altre risposte sono errate;Oltre 50 miliardi di dispositivi intelligenti;Oltre 250 miliardi di dispositivi intelligenti;A
A 43. Quanto si pensa che dovrebbe valere il mercato dei dispositive intelligenti nel 2023?;Circa 1300 miliardi di dollari;Circa 3000 miliardi di dollari;tutte le altre risposte sono errate;Circa 300 miliardi di dollari;D
A 44. Quali sono gli Stati con maggiore crescita a livello mondiale nella diffusione della tecnologia intelligente ?;Stati Uniti, Cina e Russia;Stati Uniti, Cina e Canada;tutte le altre risposte sono errate;Stati Uniti e Cina;D
A 45. Le tecnologie LPWA offrono le 4 caratteristiche fondamentali per supportare l’Industrial IoT. Quali sono?;tutte le altre risposte sono errate;Bassi costi, ampia copertura, consumi energetici contenuti, alta densità di dispositivi gestibili da una singola cella;Bassi costi, bassa copertura, consumi energetici contenuti, bassa densità di dispositivi gestibili da una singola cella;Bassi costi, ampia copertura, consumi energetici contenuti, bassadensità di dispositivi gestibili da una singola cella;B
A 46. Quali sono gli Stati con maggiore crescita a livello europeo nella diffusione della tecnologia intelligente ?;Germania e Gran Bretagna;Germania, Norvegia e Gran Bretagna;Germania e Norvegia;tutte le altre risposte sono errate;A
A 47. Cosa sono le reti di comunicazione LPWA (Low Power Wide Area) ?;Reti ad alta potenza ed ampio raggio che vengono utilizzate per connettere gli oggetti e sono caratterizzate da alta velocità, scambio di poche decine o centinaia di bit.;Reti ad alta potenza ed ampio raggio che vengono utilizzate per connettere gli oggetti e sono caratterizzate da alta velocità, scambio di milardi di bit.;tutte le altre risposte sono errate;Reti a bassa potenza ed ampio raggio che vengono utilizzate per connettere gli oggetti e sono caratterizzate da basse velocità, scambio di poche decine o centinaia di bit.;D
A 48. Cosa si intende per network slicing?;Capacità di creare dinamicamente fette di rete, in termini di risorse, diverse per rispondere in modo ottimale ai requisiti delle diverse applicazioni;Capacità di creare fette di rete per rispondere in modo ottimale ai requisiti delle diverse applicazioni;Capacità di creare staticamente fette di rete, in termini di risorse, diverse per rispondere in modo ottimale ai requisiti delle diverse applicazioni;tutte le altre risposte sono errate;A
A 49. Per cosa vengono utilizzate principalmente le Soluzioni di Smart Logistics?;tutte le altre risposte sono errate;Per la gestione delle flotte aziendali, di smart home e di antifurti satellitari;Per la gestione delle flotte aziendali e di antifurti satellitari;Per la gestione delle flotte aziendali e di smart home;C
A 50. La Smart Agriculture per quale tipo di monitoraggio viene utilizzata maggiormente?;Monitoraggio di terreni agricoli;Monitoraggio di mezzi e terreni agricoli;Gestione di mezzi agricoli;tutte le altre risposte sono errate;B
A 51. Chi fu a coniare il neologismo Internet of Everything e in quale anno?;Dave Evans, Chief Futurist di Cisco, nel 2016;Dave Evans, Chief Futurist di Cisco, nel 2015;tutte le altre risposte sono errate;Dave Evans, Chief Futurist di Cisco, nel 2014;D
A 52. Quali sono le possibili correlazioni alla base del paradigma Internet of Everything?;"Machine to Machine; People to People";"Machine to Machine; Machine to People ; People to People";"Machine to People ; People to People";tutte le altre risposte sono errate;B
A 53. Quanti sono gli elementi costitutivi di Internet of Everything?;4;3;2;tutte le altre risposte sono errate;A
A 54. Quali sono gli elementi costitutivi di Internet of Everything?;tutte le altre risposte sono errate;"Persone; Cose";"Persone; Cose; Dati; Processi";"Persone; Cose; Dati";C
A 55. Quali sono le somiglianze tra Internet of Things e Internet of Everything?;Decentralizzazione;tutte le altre risposte sono errate;Problemi di sicurezza;"Decentralizzazione; Problemi di sicurezza";D
A 56. Quali sono le funzionalità dell’Internet of Everything?;"Decentramento e spostamento verso il bordo; Input e output dei dati; Relazione con ogni tecnologia nel processo di trasformazione digitale - Cloud Computing, Fog Computing, Intelligenza artificiale, Internet of Things, Big Data, ecc.";"Decentramento e spostamento verso il bordo; Relazione con ogni tecnologia nel processo di trasformazione digitale – Cloud Computing, Fog Computing, Intelligenza artificiale, Internet of Things, Big Data, ecc.";"Input e output dei dati; Relazione con ogni tecnologia nel processo di trasformazione digitale - Cloud Computing, Fog Computing, Intelligenza artificiale, Internet of Things, Big Data, ecc.";tutte le altre risposte sono errate;A
A 57. Quale è l'obiettivo principale della tecnologia Internet of Everything?;Convertire le informazioni raccolte in dati, facilitare il processo decisionale basato sui dati e fornire nuove funzionalità ed esperienze più ricche.;Convertire le informazioni raccolte in azioni;tutte le altre risposte sono errate;Convertire le informazioni raccolte in azioni, facilitare il processo decisionale basato sui dati e fornire nuove funzionalità ed esperienze più ricche.;D
A 58. Qauli sono i componenti chiave del mercato Internet of Everything?;Hardware e software;Software e servizi;tutte le altre risposte sono errate;Hardware, software e servizi;D
A 59. Cosa creano le tre correlazioni alla base del paradigma Internet of Everything?;tutte le altre risposte sono errate;una rete intelligente in grado di raccogliere i dati strutturati forniti dalle macchine, grazie a soluzioni di Internet of Things, e incrociarli con i dati non strutturati raccolti dalla rete, al fine di deliberare, in ogni situazione, la migliore azione possibile.;una rete intelligente in grado di raccogliere i dati strutturati forniti dalle macchine, grazie a soluzioni di Internet of Things, e incrociarli con le informazioni non strutturate raccolte dalle persone, al fine di deliberare, in ogni situazione, la migliore azione possibile.;una rete intelligente in grado di raccogliere i dati strutturati forniti dalle macchine, grazie a soluzioni di Internet of Things, e incrociarli con i dati non strutturati raccolte dalle persone, al fine di deliberare, in ogni situazione, la migliore azione possibile.;C
A 60. Il paradigma Internet of Everything ha determinato dei radicali e rivoluzionari impatti;tutte le altre risposte sono errate;a livello di impresa e di consumatori;a livello di impresae di società in genere;a livello di impresa, di consumatori e di società in genere;D
A 61. Perché Internet of Things e Big Data sono due fenomeni fortemente intrecciati?;perchè l’origine dei Big Data è dovuta allo sviluppo tecnologico che ha consentito la generazione di enormi quantità di applicazioni, mentre l’Internet of Things è proprio uno degli elementi trascinanti nello sviluppo delle applicszioni;tutte le altre risposte sono errate;perchè l’origine dei Big Data è dovuta allo sviluppo tecnologico che ha consentito la generazione di enormi quantità di dati e il loro immagazzinamento, mentre l’Internet of Things è proprio uno degli elementi trascinanti nello sviluppo e nell’analisi dei Big Data.;perchè l’origine dei Big Data è dovuta allo sviluppo tecnologico che ha consentito la generazione di enormi quantità di dati, mentre l’Internet of Things è proprio uno degli elementi trascinanti nello sviluppo e nell’analisi dei Big Data.;C
A 62. In che senso Big Data e Analytics sono due aspetti dello stesso fenomeno?;perchè o sviluppo tecnologico che ha permesso la nascita dell’Internet of Things e che in futuro è destinato a crescere in modo sempre più rapido ha generato delle metodologie che stanno rivoluzionando il modo di condurre le analisi dei dati.;tutte le altre risposte sono errate;perchè o sviluppo tecnologico che ha permesso la nascita dell’Internet of Things e che in futuro è destinato a crescere in modo sempre più rapido ha generato le enormi moli di dati che stanno rivoluzionando il modo di condurre le analisi dei dati.;perchè o sviluppo tecnologico che ha permesso la nascita dell’Internet of Things e che in futuro è destinato a crescere in modo sempre più rapido ha generato delle metodologie che stanno rivoluzionando il modo di organizzare la raccolta dei dati.;C
A 63. Cosa devono essere in grado di fare le aziende per sfruttare appieno le analisi descrittive;Le aziende devono essere in grado di analizzare tutti e solo i dati pertinenti.;Le aziende devono essere in grado di analizzare solo i dati pertinenti.;tutte le altre risposte sono errate;Le aziende devono essere in grado di analizzare tutti e solo i dati pertinenti. Inoltre, le nuove fonti di dati devono essere integrate con i dati tradizionali in modo coerente e unificato per garantire migliori risultati del processo decisorio.;D
A 64. Coem vengono elaborati i modelli di tipo predittivo?;partendo dai dati storici e combinandoli con quelli raccolti in tempo reale dai sensori e permettendo di identificare possibili futuri eventi.;tutte le altre risposte sono errate;partendo dai dati raccolti in tempo reale dai sensori, permettendo di identificare possibili futuri eventi.;partendo dai dati storici e permettendo di identificare possibili futuri eventi.;A
A 65. attraverso l’analisi prescrittiva quando i dati in entrata vengono tradotti in azioni;senza l’intervento umano. In questo modo si massimizzano le entrate e si riducono i costi, grazie al supporto di adeguamenti istantanei e automatici agli eventi che si verificano.;tutte le altre risposte sono errate;con l’intervento umano. In questo modo si massimizzano le entrate e si riducono i costi, grazie al supporto di adeguamenti istantanei e programmati rispetto agli eventi che si verificano.;con l’intervento umano. In questo modo si massimizzano le entrate e si riducono i costi, grazie al supporto di adeguamenti istantanei e automatici agli eventi che si verificano.;A
A 66. Per velocizzare e migliorare la fase di analytics cosa occorre fare?;Sviluppare dispositivi tecnologici che riducano i problemi di incertezza, ambiguità e inconsistenza dei dati e che li trasmettano ripuliti da errori;tutte le altre risposte sono errate;Sviluppare dispositivi tecnologici che riducano i problemi di incertezza, ambiguità e inconsistenza dei dati e che li trasmettano ripuliti da errori, in modo da ridurre lo spazio necessario.;Sviluppare dispositivi tecnologici che riducano i problemi di incertezza, ambiguità e inconsistenza dei dati e che li trasmettano ripuliti da errori e compressi, in modo da ridurre lo spazio necessario.;D
A 67. In che senso i big data in sé non hanno un valore intrinseco?;perché è la loro elaborazione ed inserimento in un contesto aziendale ben organizzato che attribuisce valore alle informazioni da essi estratte;tutte le altre risposte sono errate;perché è la loro rielaborazione ed inserimento in un contesto aziendale ben organizzato;perché è la loro rielaborazione ed inserimento in un contesto aziendale ben organizzato che attribuisce valore alle informazioni da essi estratte;A
A 68. Gli strumenti di business analytics permettono di raccogliere e processare rapidamente i dati;ottenendo informazioni che permettono alle aziende di focalizzarsi sulle proprie attività;ottenendo informazioni che permettono alle aziende di focalizzarsi sulle attività più importanti;tutte le altre risposte sono errate;attraverso la selezione delle informazioni più importanti;B
A 69. In che senso i business analytics danno sviluppo ad un processo di democratizzazione e condivisione della conoscenza?;in quanto prima i business analytics erano appannaggio esclusivo del top management, mentre oggi l’accesso alle informazioni si sta espandendo verso ruoli operativi.;in quanto prima i business analytics erano appannaggio esclusivo dei soci delle aziende, mentre oggi l’accesso alle informazioni si sta espandendo verso il top management;tutte le altre risposte sono errate;in quanto prima i business analytics erano appannaggio esclusivo del top management, mentre oggi l’accesso alle informazioni si sta espandendo verso tutti.;A
A 70. In che senso l'applicazione dei sistemi di business analytics ai dati generati tramite reti di Internet of Things è utilizzata per dirigere, ottimizzare e automatizzare il processo decisionale?;in quanto si ha la possibilità di avere a disposizione dati in tempo reale che si possono inserire nel processo decisionale arrivando a decisioni estremamente tempestive;in quanto si ha la possibilità di avere a disposizione dati che si possono inserire nel processo decisionale arrivando a decisioni estremamente utili anceh se non tempestive;in quanto si ha la possibilità di avere a disposizione dati che si possono inserire nel processo decisionale arrivando a decisioni estremamente tempestive;tutte le altre risposte sono errate;A
A 71. Il significato del termine domotica viene dalla combinazione di più parole;tutte le altre risposte sono errate;una latina (domus)e l’altra greca (ticos);una latina (domus)e l’altra greca (tikòs);una latina (domus)e l’altra greca (tikos);B
A 72. Quando viene introdotto ECHO IV (Electronic Computing House Operator)?;Nel 1966;Nel 1946;tutte le altre risposte sono errate;Nel 19665;A
A 73. Cosa è la domotica?;una scienza in cui convergono diverse competenze di ingegneria, architettura, energetica, elettrotecnica, informatica,sicurezza e design.;una scienza in cui convergono diverse discipline;tutte le altre risposte sono errate;una scienza in cui convergono diverse discipline e competenze di ingegneria, architettura, energetica, elettrotecnica, informatica, sicurezza e design.;D
A 74. Nella Domotica IoT come funzioneranno tutte le operazoni e attività della casa?;Si avvarranno della piattaforma web per scambiare informazioni tra l’utente e il sistema web al fine di avere un controllo totale anche a distanza.;Si avvarranno della piattaforma web per scambiare informazioni tra l’utente e il sistema domotico al fine di avere un controllo totale anche a distanza.;Si avvarranno della piattaforma web per scambiare informazioni tra l’utente e il sistema web;tutte le altre risposte sono errate;B
A 75. Cosa sono i tecno-gadget indoor e outdoor;Prodotti che, tra creatività e innovazione, strizzano l’occhio al lato più geek dei consumatori;tutte le altre risposte sono errate;prodotti informatici;software che, tra creatività e innovazione, strizzano l’occhio al lato più geek dei consumatori;A
A 76. Quale è il vantaggio immediato oggi della domotica rispetto alla domotica tradizionale?;in termini di praticità e facilità di utilizzo;In termini di costi;tutte le altre risposte sono errate;In termini di costi, di praticità e facilità di utilizzo;D
A 77. L’impianto domotico prevede la posa di un cavo BUS, per quale motivo?;Per collegare correttamente i vari ambienti inc ui viene installato;Per motivi di sicurezza;Per collegare i vari dispositivi;tutte le altre risposte sono errate;C
A 78. A cosa serve l'IFTTT?;Ad aiutare le app e i dispositivi a lavorare anche separatamente;Ad aiutare le app e i dispositivi a lavorare in sinergia;tutte le altre risposte sono errate;Ad aiutare le app a lavorare in sinergia;B
A 79. Quando si parlò per la prima volta di domotica?;Nel 1891 quando William Penn Powers, introduce e commercializza dei regolatori per la temperatura in grado di migliorare la qualità della vita dei propri lavoratori in maniera spontanea, dando avvio al processo dell’automatizzazione;Nel 1881 quando William Penn Powers, introduce e commercializza dei regolatori per la temperatura in grado di migliorare la qualità della vita dei propri lavoratori;Nel 1881 quando William Penn Powers, introduce e commercializza dei regolatori per la temperatura in grado di migliorare la qualità della vita dei propri lavoratori in maniera spontanea, dando avvio al processo dell’automatizzazione;tutte le altre risposte sono errate;A
A 80. Qauli funzioni aveva il dipsotivo ECHO IV (Electronic Computing House Operator)?;gestione della temperatura domestica, controllo del clima di ogni stanza da un pannello centrale, controllo della lista della spesa e le previsioni del tempo, scrittura di annotazioni sul pannello di comando e accensione e spegnimento di tutte le apparecchiature elettriche della casa.;gestione della temperatura domestica, controllo della lista della spesa e le previsioni del tempo, scrittura di annotazioni sul pannello di comando e accensione e spegnimento di tutte le apparecchiature elettriche della casa ed esterne.;gestione della temperatura esterna, controllo del clima di ogni stanza da un pannello centrale, controllo della lista della spesa e le previsioni del tempo, scrittura di annotazioni sul pannello di comando e accensione e spegnimento di tutte le apparecchiature elettriche della casa.;tutte le altre risposte sono errate;A
A 81. La tecnologia NFC e i sensori con tag RFID per cosa vengono utilizzati?;Per la tracciabilità dei prodotti;Per la tracciabilità dei servizi;tutte le altre risposte sono errate;Per la commercializzazione dei prodotti;A
A 82. Perché è utile la tracciabilità certificata ed istantanea di oggetti;Per controllare i prodotti;Per controllare la filiera produttiva;tutte le altre risposte sono errate;Per controllare la filiera produttiva di un prodotto;D
